name,party,district,crucial_vote_score,overall_score
"Underwood, Lauren",D,IL-14,81.62,95.93
"Keating, Bill",D,MA-9,81.34,93.65
"Torres, Norma",D,CA-35,81.31,95.21
"Price, David",D,NC-4,81.19,91.06
"Cardenas, Tony",D,CA-29,81.16,94.40
"Butler Demings, Val",D,FL-10,81.14,95.32
"Sires, Albio",D,NJ-8,81.11,94.15
"Pascrell, Bill",D,NJ-9,81.08,90.80
"Malinowski, Tom",D,NJ-7,80.75,95.82
"Phillips, Dean",D,MN-3,80.65,95.82
"Langevin, Jim",D,RI-2,80.57,92.37
"McEachin, Donald",D,VA-4,80.36,94.97
"Garamendi, John",D,CA-3,79.70,92.83
"Titus, Dina",D,NV-1,79.51,94.25
"Porter, Katie",D,CA-45,79.14,94.67
"Higgins, Brian",D,NY-26,79.11,93.18
"Green, Al",D,TX-9,79.06,92.93
"Ryan, Tim",D,OH-13,78.72,92.27
"Lynch, Stephen",D,MA-8,78.66,91.62
"Butterfield, G.K.",D,NC-1,78.63,92.39
"Pappas, Chris",D,NH-1,78.61,94.92
"Horsford, Steven",D,NV-4,78.57,93.55
"Allred, Colin",D,TX-32,78.49,94.97
"Hoyer, Steny",D,MD-5,78.19,89.48
"Norcross, Donald",D,NJ-1,77.89,94.37
"Fletcher , Lizzie",D,TX-7,77.54,93.35
"Stevens, Haley",D,MI-11,77.54,95.04
"Courtney, Joe",D,CT-2,77.38,93.31
"Panetta, Jimmy",D,CA-20,77.31,94.13
"Davids, Sharice",D,KS-3,77.01,94.93
"Kaptur, Marcy",D,OH-9,76.90,88.59
"Carbajal, Salud",D,CA-24,76.51,93.89
"Schrier, Kim",D,WA-8,76.34,95.03
"Moulton, Seth",D,MA-6,76.29,93.75
"DelBene, Suzan",D,WA-1,76.20,93.55
"Veasey, Mark",D,TX-33,76.11,92.95
"Crow, Jason",D,CO-6,75.94,94.70
"Larsen, Rick",D,WA-2,75.89,90.44
"Wild, Susan",D,PA-7,75.66,94.31
"McNerney, Jerry",D,CA-9,74.92,91.61
"Kim, Andy",D,NJ-3,74.87,94.26
"Delgado, Antonio",D,NY-19,74.33,94.26
"Harder, Josh",D,CA-10,74.19,93.89
"Smith, Adam",D,WA-9,73.86,87.43
"McBath, Lucy",D,GA-6,73.80,93.81
"Kilmer, Derek",D,WA-6,73.75,92.87
"Connolly, Gerry",D,VA-11,73.70,91.78
"Correa, Lou",D,CA-46,73.43,91.81
"Houlahan, Chrissy",D,PA-6,73.26,94.03
"Doyle, Mike",D,PA-18,73.17,87.21
"Lee, Susie",D,NV-3,72.58,93.89
"Himes, Jim",D,CT-4,72.41,90.28
"Kind, Ron",D,WI-3,72.28,86.45
"González, Vicente",D,TX-15,71.26,89.87
"Kuster, Annie",D,NH-2,70.51,91.87
"Sewell, Terri",D,AL-7,69.70,89.98
"Case, Ed",D,HI-1,69.62,83.64
"Rice, Kathleen",D,NY-4,69.40,92.55
"Scott, David",D,GA-13,69.19,88.55
"Perlmutter, Ed",D,CO-7,69.16,90.11
"Sherrill, Mikie",D,NJ-11,68.98,92.76
"Foster, Bill",D,IL-11,68.76,90.56
"Brownley, Julia",D,CA-26,68.70,91.45
"Suozzi, Thomas",D,NY-3,68.28,90.79
"Lawson, Al",D,FL-5,68.17,91.72
"Ruppersberger, Dutch",D,MD-2,67.65,88.37
"Crist, Charlie",D,FL-13,67.17,91.21
"Aguilar, Pete",D,CA-31,66.87,91.97
"Luria, Elaine",D,VA-2,66.67,90.24
"Craig, Angie",D,MN-2,66.31,91.77
"Slotkin, Elissa",D,MI-8,65.78,90.99
"Lamb, Conor",D,PA-17,64.98,86.53
"Axne, Cindy",D,IA-3,64.17,91.24
"Vela, Filemon",D,TX-34,63.57,87.02
"O'Halleran, Tom",D,AZ-1,63.55,88.38
"Schneider, Brad",D,IL-10,62.34,87.54
"Ruiz, Raul",D,CA-36,61.97,88.98
"Schrader, Kurt",D,OR-5,61.45,83.35
"Bera, Ami",D,CA-7,60.83,88.79
"Bishop, Sanford",D,GA-2,60.02,79.67
"Kirkpatrick, Ann",D,AZ-2,58.99,83.72
"Cooper, Jim",D,TN-5,58.32,79.91
"Bustos, Cheri",D,IL-17,58.30,88.71
"Maloney, Sean",D,NY-18,57.46,87.62
"Peters, Scott",D,CA-52,57.08,85.62
"Murphy, Stephanie",D,FL-7,57.06,86.45
"Spanberger, Abigail",D,VA-7,56.68,88.70
"Gottheimer, Josh",D,NJ-5,52.25,83.32
"Golden, Jared",D,ME-2,50.27,84.43
"Costa, Jim",D,CA-16,46.65,75.03
"Cuellar, Henry",D,TX-28,42.59,74.90
"Massie, Thomas",R,KY-4,25.55,13.52
"Fitzpatrick, Brian",R,PA-1,23.65,32.46
"Katko, John",R,NY-24,19.10,20.84
"Smith, Chris",R,NJ-4,15.75,21.04
"Griffith, Morgan",R,VA-9,14.35,7.37
"Stefanik, Elise",R,NY-21,13.59,15.83
"McClintock, Tom",R,CA-4,12.88,5.40
"Biggs, Andy",R,AZ-5,12.28,5.16
